phrase_en,phrase_ru,phrase_uz,topic,difficulty
The clinic provides specialized treatments for patients suffering from chronic illnesses.,Клиника предлагает специализированные лечения для пациентов, страдающих от хронических заболеваний.,Klinika surunkali kasalliklardan azob chekadigan bemorlar uchun maxsus davolanishlarni taqdim etadi.,present_simple,medium
Photographers capture breathtaking sunsets over the ocean horizon daily.,Фотографы запечатлевают захватывающие закаты над океанским горизонтом ежедневно.,Fotograflar har kuni okean ufqi ustidagi ajoyib quyosh botishlarini suratga oladi.,present_simple,medium
The university offers online courses in advanced programming languages to students.,Университет предлагает онлайн-курсы по продвинутым языкам программирования студентам.,Universitet talabalarga ilg'or dasturlash tillari bo'yicha onlayn kurslarni taklif etadi.,present_simple,medium
Rescuers search for missing hikers in dense forests using GPS technology.,Спасатели ищут пропавших туристов в густых лесах, используя GPS-технологии.,Qidiruvchilar GPS texnologiyalaridan foydalanib zich o'rmonlarda yo'qolgan sayyohlarni qidiradi.,present_simple,medium
The bookstore recommends mystery novels to readers who enjoy suspenseful plots.,Книжный магазин рекомендует детективные романы читателям, которые наслаждаются напряжёнными сюжетами.,Kitob do'koni intrigali syujetlarni yaxshi ko'radigan o'quvchilarga sirli romanlarni tavsiya etadi.,present_simple,medium
Dancers rehearse intricate routines for the upcoming international festival.,Танцоры репетируют сложные рутины для предстоящего международного фестиваля.,Raqqoslar kelgusi xalqaro festival uchun murakkab mashqlarni mashq qiladi.,present_simple,medium
The factory produces eco-friendly packaging materials from recycled plastics.,Завод производит экологически чистые упаковочные материалы из переработанного пластика.,Zavod qayta ishlatilgan plastmassadan ekologik toza qadoqlash materiallarini ishlab chiqaradi.,present_simple,medium
Historians document significant events from the Renaissance era meticulously.,Историки тщательно документируют значимые события эпохи Возрождения.,Tarixchilar Uyg'onish davri muhim voqealarini sinchkovlik bilan hujjatlashtiradi.,present_simple,medium
The spa offers relaxing massages with essential oils to reduce stress levels.,Спа предлагает расслабляющие массажи с эфирными маслами для снижения уровня стресса.,Spa stress darajasini pasaytirish uchun efir moylari bilan dam olish massajlarini taklif etadi.,present_simple,medium
Astronomers observe distant galaxies through powerful telescopes at night.,Астрономы наблюдают за далёкими галактиками через мощные телескопы ночью.,Astronomlar tunda kuchli teleskoplar orqali uzoq galaktikalarni kuzatadi.,present_simple,medium
The cafe serves gourmet coffees blended with rare beans from exotic regions.,Кафе подаёт гурманские кофе, смешанные с редкими зёрнами из экзотических регионов.,Kafe ekzotik hududlardan noyob donalar bilan aralashtirilgan gurme qahvalarni xizmat qiladi.,present_simple,medium
Linguists study endangered languages to preserve cultural heritage effectively.,Лингвисты изучают исчезающие языки, чтобы эффективно сохранять культурное наследие.,Tilshunoslar madaniy merosni samarali saqlash uchun yo'qolib ketayotgan tillarni o'rganadi.,present_simple,medium
The park hosts outdoor concerts featuring jazz musicians on summer evenings.,Парк проводит уличные концерты с джазовыми музыкантами летними вечерами.,Park yozgi kechalarda jazz musiqachilari ishtirokidagi ochiq konsertlarni o'tkazadi.,present_simple,medium
Veterinarians treat exotic pets like parrots with specialized veterinary care.,Ветеринары лечат экзотических питомцев, таких как попугаи, с помощью специализированного ветеринарного ухода.,Veterinarlar maxsus veterinariya yordami bilan to'tiqushlar kabi ekzotik uy hayvonlarini davolaydi.,present_simple,medium
The institute researches renewable energy sources to combat climate change.,Институт изучает возобновляемые источники энергии для борьбы с изменением климата.,Institut iqlim o'zgarishiga qarshi kurash uchun qayta tiklanadigan energiya manbalarini tadqiq etadi.,present_simple,medium
Painters create vibrant murals on urban walls to inspire community creativity.,Художники создают яркие муралы на городских стенах, чтобы вдохновлять творчество сообщества.,Rassomlar jamoa ijodkorligini ilhomlantirish uchun shahar devorlarida yorqin devor rasmlarini yaratadi.,present_simple,medium
The airline operates direct flights to major European capitals seasonally.,Авиакомпания выполняет прямые рейсы в крупные европейские столицы сезонно.,Aviakompaniya mavsumiy ravishda Yevropa poytaxtlariga to'g'ridan-to'g'ri reyslarni amalga oshiradi.,present_simple,medium
Therapists guide clients through mindfulness exercises to manage anxiety.,Терапевты направляют клиентов через упражнения осознанности для управления тревогой.,Terapevtlar tashvishlarni boshqarish uchun mijozlarni ongni to'liq sezish mashqlaridan o'tkazadi.,present_simple,medium
The observatory tracks meteor showers visible from the southern hemisphere.,Обсерватория отслеживает метеорные потоки, видимые из южного полушария.,Observatoriya janubiy yarim sharda ko'rinadigan meteor oqimlarini kuzatadi.,present_simple,medium
Cooks experiment with fusion cuisines combining Asian and Mediterranean flavors.,Повара экспериментируют с фьюжн-кухнями, сочетающими азиатские и средиземноморские вкусы.,Oshpazlar Osiyo va O'rta er dengizi ta'mlarini birlashtirgan fyuzyon oshxonalari bilan tajriba o'tkazadi.,present_simple,medium
The foundation funds scholarships for underprivileged students pursuing STEM fields.,Фонд финансирует стипендии для студентов из малообеспеченных семей, изучающих STEM-дисциплины.,Jamg'arma kam ta'minlangan talabalar uchun STEM sohalarni o'rganishga stipendiyalarni moliyalashtiradi.,present_simple,medium
Sailors navigate treacherous waters around coral reefs during expeditions.,Моряки маневрируют по опасным водам вокруг коралловых рифов во время экспедиций.,Dengizchilar ekspeditsiyalar paytida marjon riflari atrofidagi xavfli suvlarda yo'nalishni belgilaydi.,present_simple,medium
The publisher prints limited editions of illustrated children's books annually.,Издатель печатает ограниченные тиражи иллюстрированных детских книг ежегодно.,Nashriyot har yili cheklangan nashrlarda bolalar uchun rasmlar bilan bezatilgan kitoblarni chop etadi.,present_simple,medium
Botanists cultivate rare orchids in controlled greenhouses for conservation.,Ботаники выращивают редкие орхидеи в контролируемых теплицах для сохранения.,Botaniklar saqlash uchun boshqariladigan issiqxonalarda noyob orkidealarini yetishtiradi.,present_simple,medium
The symphony hall echoes with applause after each masterful performance.,Концертный зал наполняется аплодисментами после каждого мастерского исполнения.,Simfoniya zali har bir usta ijrodan keyin olqishlar bilan aks-sado beradi.,present_simple,medium
Investigators uncover hidden networks involved in international smuggling rings.,Расследователи раскрывают скрытые сети, вовлечённые в международные контрабандные кольца.,Tergovchilar xalqaro kontrabanda halqalariga aralashgan yashirin tarmoqlarni ochib beradi.,present_simple,medium
The vineyard produces award-winning wines from grapes grown on steep hillsides.,Винодельня производит премиальные вина из винограда, выращенного на крутых склонах.,Uzumzor tik tepaliklarda yetishtirilgan uzumdan mukofotli sharoblarni ishlab chiqaradi.,present_simple,medium
Counselors support grieving families through group therapy sessions weekly.,Консультанты поддерживают скорбящие семьи через еженедельные групповые терапии.,Maslahatchilar haftalik guruh terapiya seanslari orqali qayg'uli oilalarni qo'llab-quvvatlaydi.,present_simple,medium
The aquarium maintains delicate ecosystems for tropical fish species carefully.,Аквариум поддерживает деликатные экосистемы для тропических видов рыб тщательно.,Akvarium tropik baliq turlarining nozik ekotizimlarini ehtiyotkorlik bilan saqlaydi.,present_simple,medium
Writers craft intricate narratives that weave historical facts with fiction.,Писатели создают сложные нарративы, которые переплетают исторические факты с вымыслом.,Yozuvchilar tarixiy faktlarni uydirma bilan to'qib chiqaradigan murakkab hikoyalarni yaratadi.,present_simple,medium
The marathon runners train rigorously on hilly terrains to build endurance.,Марафонцы тренируются интенсивно на холмистых местностях, чтобы развивать выносливость.,Marafon yugurchilari chidamlilikni oshirish uchun tepalik yerlarda qattiq mashq qiladi.,present_simple,medium
Curators select artifacts for exhibitions that highlight indigenous cultures.,Кураторы выбирают артефакты для выставок, которые подчёркивают коренные культуры.,Kuratorlar mahalliy madaniyatlarni ta'kidlaydigan ko'rgazmalar uchun artefaktlarni tanlaydi.,present_simple,medium
The software company develops user-friendly apps for mobile devices globally.,Компания по разработке ПО создаёт удобные приложения для мобильных устройств по всему миру.,Dasturiy ta'minot kompaniyasi butun dunyo bo'ylab mobil qurilmalar uchun qulay ilovalarni ishlab chiqadi.,present_simple,medium
Therapists employ cognitive techniques to help clients overcome phobias.,Терапевты применяют когнитивные техники, чтобы помочь клиентам преодолеть фобии.,Terapevtlar mijozlarga fobiyalarni yengishga yordam berish uchun kognitiv texnikalardan foydalanadi.,present_simple,medium
The botanical garden nurtures endangered plants from various continents.,Ботанический сад выращивает endangered растения с различных континентов.,Botanik bog' turli qit'alardan yo'qolib ketayotgan o'simlarni parvarish qiladi.,present_simple,medium
Directors film epic scenes in remote locations to capture authentic atmospheres.,Режиссёры снимают эпические сцены в отдалённых местах, чтобы передать аутентичную атмосферу.,Rejissyorlar haqiqiy muhitni qamrab olish uchun uzoq joylarda epik sahnalarni suratga oladi.,present_simple,medium
The heritage site preserves ancient ruins that reveal insights into past societies.,Объект культурного наследия сохраняет древние руины, которые раскрывают insights в прошлые общества.,Meros obyekti o'tmish jamiyatlariga oid ma'lumotlar ochib beradigan qadimiy xarobalarni saqlaydi.,present_simple,medium
Chefs infuse dishes with aromatic spices sourced from distant spice routes.,Шефы приправляют блюда ароматными специями, полученными из далёких торговых путей специй.,Oshpazlar uzoq ziravor yo'llaridan olingan hidli ziravorlar bilan taomlarni boyitadi.,present_simple,medium
The research team publishes findings on quantum computing advancements quarterly.,Исследовательская команда публикует выводы о прогрессе в квантовых вычислениях ежеквартально.,Tadqiqot jamoasi kvant hisoblashdagi yutuqlar haqida choraklik ma'lumotlarni e'lon qiladi.,present_simple,medium
Hikers traverse rugged trails that offer panoramic views of mountain ranges.,Путешественники проходят по неровным тропам, которые предлагают панорамные виды горных хребтов.,Sayohatchilar tog' tizmalarining panoramik ko'rinishlarini taklif qiladigan qo'pol yo'llardan o'tadi.,present_simple,medium
The conservatory trains young musicians in classical compositions meticulously.,Консерватория обучает молодых музыкантов классическим композициям тщательно.,Konservatoriya yosh musiqachilarni klassik kompozitsiyalarda sinchkovlik bilan o'qitadi.,present_simple,medium
Economists forecast inflation rates based on global trade dynamics carefully.,Экономисты прогнозируют ставки инфляции на основе глобальной динамики торговли тщательно.,Iqtisodchilar global savdo dinamikasi asosida inflyatsiya stavkalarini ehtiyotkorlik bilan bashorat qiladi.,present_simple,medium
The wildlife sanctuary protects migratory birds during their seasonal journeys.,Природный заповедник защищает перелётных птиц во время их сезонных путешествий.,Yovvoyi tabiat qo'riqxonasi migratsion qushlarni mavsumiy sayohatlarida himoya qiladi.,present_simple,medium
Authors dedicate novels to exploring human emotions in intricate psychological depths.,Авторы посвящают романы исследованию человеческих эмоций в сложных психологических глубинах.,Mualliflar murakkab psixologik chuqurliklarda inson his-tuyg'ularini o'rganishga romanlarni bag'ishlaydi.,present_simple,medium
The engineering firm constructs sustainable buildings using green materials.,Инженерная фирма строит устойчивые здания, используя зелёные материалы.,Muhandislik firmasi yashil materiallardan foydalanib barqaror binolarni quradi.,present_simple,medium
Therapists facilitate dialogue in couples counseling to resolve conflicts.,Терапевты облегчают диалог в консультациях для пар, чтобы разрешать конфликты.,Terapevtlar juftliklar maslahatida ziddiyatlarni hal qilish uchun suhbatni osonlashtiradi.,present_simple,medium
The planetarium simulates cosmic events for educational astronomy sessions.,Планетарий симулирует космические события для образовательных астрономических сессий.,Planetariy ta'limiy astronomiya seanslari uchun kosmik voqealarni simulyatsiya qiladi.,present_simple,medium
Bakers knead dough with precision to achieve perfect textures in loaves.,Пекари замешивают тесто с точностью, чтобы добиться идеальных текстур в буханках.,Nonvoylar xamirni aniqlik bilan yo'g'radi, bo'laklarda mukammal teksturalarga erishish uchun.,present_simple,medium
The archaeological dig unearths pottery shards from prehistoric settlements.,Археологическая раскопка извлекает черепки керамики из доисторических поселений.,Arxeologik qazishmalar tarixgacha aholi punktlaridan sopol parchalarini topadi.,present_simple,medium
Musicians improvise jazz solos that captivate audiences with spontaneous melodies.,Музыканты импровизируют джазовые соло, которые завораживают аудиторию спонтанными мелодиями.,Musiqachilar spontan ohanglar bilan tomoshabinlarni jalb qiladigan jazz sololarini improvizatsiya qiladi.,present_simple,medium
The logistics company optimizes delivery routes using advanced algorithms.,Логистическая компания оптимизирует маршруты доставки с помощью продвинутых алгоритмов.,Logistika kompaniyasi ilg'or algoritmlardan foydalanib yetkazib berish yo'llarini optimallashtiradi.,present_simple,medium
Counselors empower individuals through motivational workshops on personal growth.,Консультанты вдохновляют индивидов через мотивационные воркшопы по личностному росту.,Maslahatchilar shaxsiy o'sish bo'yicha motivatsion seminarlar orqali shaxslarni quvvatlaydi.,present_simple,medium
The marine biology lab studies coral bleaching caused by rising ocean temperatures.,Лаборатория морской биологии изучает отбеливание кораллов, вызванное повышением температуры океана.,Dengiz biologiyasi laboratoriyasi okean harorati ko'tarilishi sababli marjon oqarishi o'rganadi.,present_simple,medium
Poets compose verses that evoke profound reflections on life's fleeting moments.,Поэты сочиняют стихи, которые вызывают глубокие размышления о мимолётных моментах жизни.,Shoirlar hayotning o'tkinchi lahzalariga chuqur mulohazalar uyg'otadigan she'rlarni yozadi.,present_simple,medium
The construction crew assembles prefabricated modules for rapid urban development.,Бригада строителей собирает prefabricated модули для быстрого городского развития.,Qurilish brigadasi tez shahar rivojlanishi uchun oldindan tayyorlangan modullarni yig'adi.,present_simple,medium
Psychologists assess cognitive functions in elderly patients to detect early dementia.,Психологи оценивают когнитивные функции у пожилых пациентов для выявления ранней деменции.,Psixologlar keksa bemorlarda erta demensiyani aniqlash uchun kognitiv funksiyalarni baholaydi.,present_simple,medium
The vineyard workers prune vines meticulously to enhance grape quality.,Работники виноградника обрезают лозы тщательно, чтобы улучшить качество винограда.,Uzumzor ishchilari uzum sifatini oshirish uchun uzumlarni sinchkovlik bilan kesadi.,present_simple,medium
Filmmakers edit raw footage into compelling narratives that resonate emotionally.,Киносоздатели монтируют сырой материал в убедительные нарративы, которые эмоционально резонируют.,Kinoshtat xom materialni hissiy jihatdan ta'sir qiladigan jozibali hikoyalarga montaj qiladi.,present_simple,medium
The heritage foundation restores faded frescoes in historic cathedrals.,Фонд наследия восстанавливает выцветшие фрески в исторических соборах.,Meros fondi tarixiy soborlardagi xira freskalarni tiklaydi.,present_simple,medium
Spice traders import rare saffron threads from remote Himalayan valleys.,Торговцы специями импортируют редкие нити шафрана из отдалённых долин Гималаев.,Ziravor savdogarlari Olmos tog'lari uzoq vodiylaridan noyob safran ipaklarini import qiladi.,present_simple,medium
